Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"Cap_0402","Chip Capacitor 0402 (1005 metric)","C1, C2, C5, C17, C19","CAPC1005L","Capacitor_0402","5","Digi-Key","311-1731-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C3, C4","CAPC1005L","Capacitor_0402","2","Digi-Key","311-1415-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C6, C16","CAPC1005L","Capacitor_0402","2","Digi-Key","311-1703-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C7","CAPC1005L","Capacitor_0402","1","Digi-Key","311-1352-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C8","CAPC1005L","Capacitor_0402","1","Digi-Key","311-1003-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C9, C12","CAPC1005L","Capacitor_0402","2","Digi-Key","311-1018-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C10","CAPC1005L","Capacitor_0402","1","Digi-Key","311-2076-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C11","CAPC1005L","Capacitor_0402","1","Digi-Key","311-1704-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C13","CAPC1005L","Capacitor_0402","1","Digi-Key","311-1367-1-ND"
"Cap_0402","Chip Capacitor 0402 (1005 metric)","C14","CAPC1005L","Capacitor_0402","1","Digi-Key","311-1707-1-ND"
"Cap0603","4.7µF 10V Ceramic Capacitor X5R 0603","C18, C20","CAPC1608L","Cap0603","2","Digi-Key","311-1453-1-ND"
"0402L050SLKR","PTC Resettable Fuse 6V 500mA Ih Surface Mount 0402 (1005 Metric), Concave","F1","0805L","Fuse 2","1","Digi-Key","F2772CT-ND"
"Header 6","Header, 6-Pin","I2C","HDR1X6","Header 6","1","",""
"32K249-400L5","SMA Right Angle Jack, Up to 18 GHz, -65 to 165 degC","J2","ROS-32K249-400L5_V","32K249-400L5","1","Digi-Key","ARFX1232-ND"
"Header 3X2","Header, 3-Pin, Dual row","J5","HDR2X3","Header 3X2","1","",""
"Header 7","Header, 7-Pin","J6, J7","HDR1X7","Header 7","2","",""
"Inductor0402","Inductor 27nH","L1","CAPC1005L","Inductor0402","1","Digi-Key","A103711CT-ND"
"Inductor0402","Inductor 27nH","L2","CAPC1005L","Inductor0402","1","Digi-Key","A102559CT-ND"
"Inductor0402","Inductor 27nH","L3","CAPC1005L","Inductor0402","1","Digi-Key","A103706CT-ND"
"Ferrite","BLM18AG121SN1 FERRITE 120 OHM 500MA 0603","L4","0603-cap","Ferrite","1","Digi-Key","445-2166-1-ND"
"LED 0603","LED SMD 0603","LED1","0603_LED","LED 0603","1","Digi-Key","754-1790-1-ND"
"LED 0603","LED SMD 0603","LED2","0603_LED","LED 0603","1","Digi-Key","754-1789-1-ND"
"Header 2H","Header, 2-Pin, Right Angle","POWER","HDR1X2","Header 2H","1","",""
"RES_0402","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0805 Size, 1/8 W","R1, R7","CAPC1005L","RES_0402","2","Digi-Key","311-2131-1-ND"
"RES_0402","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0805 Size, 1/8 W","R2","CAPC1005L","RES_0402","1","Digi-Key","311-22KJRCT-ND"
"RES_0402","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0805 Size, 1/8 W","R3","CAPC1005L","RES_0402","1","Digi-Key","311-1.0MJRCT-ND"
"RES_0402","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0805 Size, 1/8 W","R4, R5","CAPC1005L","RES_0402","2","Digi-Key","311-330JRCT-ND"
"RES_0402","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0805 Size, 1/8 W","R6","CAPC1005L","RES_0402","1","Digi-Key","311-0.0JRTR-ND"
"SW-SPST","Single-Pole, Single-Throw Switch","S1, S2","SWITCH TS-1181","SW-SPST","2","Digi-Key","CKN10384CT-ND"
"ATmega328-AU","8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 32-pin TQFP, Industrial Grade (-40°C to 85°C)","U1","32A_L","ATmega328-AU","1","Digi-Key","ATMEGA328-AU-ND"
"nRF24L01+ QFN20","IC RF TxRx Only General ISM > 1GHZ 2.4GHz","U2","QFN20","nRF24L01+","1","Digi-Key","1490-1019-ND"
"FT232RL-Reel","USB UART Asynchronous Serial Data Transfer Chip, 28-pin SSOP, Tape and Reel","U3","SSOP-28_N","FT232RL-Reel","1","Digi-Key","768-1007-6-ND"
"MIC5205-3.3YM5","Voltage Regulator","U4","SOT23-5","MIC5205-3.3YM5","1","Digi-Key","576-1259-1-ND"
"ZX62-B-5PA-33","USB Connector","USB","Micro USB b","ZX62-B-5PA-33","1","Digi-Key","H125270CT-ND"
"8 MHz","Crystal FOXSLF/080-20","Y1","CX5032GB","XTAL","1","Digi-Key","1253-1373-1-ND"
"16 MHz","Crystal FOXSLF/080-20","Y2","SPK-16M-5032","XTAL_SMD","1","Digi-Key","887-1708-1-ND"
