Comment,Designator,LibRef,Quantity,Supplier 1,Supplier Part Number 1

"CAPC_RADIAL_100","C1","CAPC1608L_1","1","Digi-Key","P1175-ND"
"CAPC_RADIAL_100","C2","CAPC1608L_1","1","Digi-Key","P1176-ND"
"10uF","C3","Capacitor","1","Digi-Key","490-10474-1-ND"
"STATUS","D1","LED 0603","1","Digi-Key","492-1326-1-ND"
"USER","D2","LED 0603","1","Digi-Key","160-1834-1-ND"
"Header 2H","J1, J2, J4","Header 2H","3","Digi-Key","S1011EC-02-ND"
"Header 6","J3, J5, J6","Header 6","3","Digi-Key","S7039-ND"
"Header 4","J7","Header 4","1","Digi-Key","S7037-ND"
"Arduino Pro Mini 5V 16MHz","MD1","Arduino Pro Mini 5V 16MHz","1","",""
"nRF24L01+","MD2","nRF24L01+ Module","1","",""
"Female header for FTDI module","MD3","Module_FTDI","1","",""
"150R","R1, R2","Resistor","2","Digi-Key","P150GCT-ND"
"10k","R3, R4","Resistor","2","Digi-Key","P10KGCT-ND"
"CLR_EEPROM","S1","SW-SPST","1","Digi-Key","CKN10384CT-ND"
"USER_BUTTON","S2","SW-SPST","1","Digi-Key","CKN10384CT-ND"
"DIP SW 3P","SW1","DIP SW 3P","1","Digi-Key","CT2083-ND"
